,power,haut,bas
0,167.0,400.0,0.0
1,156.0,400.0,0.0
2,157.0,400.0,0.0
3,166.0,400.0,0.0
4,168.0,400.0,0.0
5,166.0,400.0,0.0
6,157.0,400.0,0.0
7,160.0,400.0,0.0
8,154.0,400.0,0.0
9,157.0,400.0,0.0
10,165.0,400.0,0.0
11,157.0,400.0,0.0
12,162.0,400.0,0.0
13,152.0,400.0,0.0
14,135.0,0.0,100.0
15,126.0,0.0,100.0
16,121.0,0.0,100.0
17,130.0,0.0,100.0
18,131.0,0.0,100.0
19,127.0,0.0,100.0
20,137.0,0.0,100.0
21,141.0,0.0,100.0
22,140.0,0.0,100.0
23,142.0,0.0,100.0
24,138.0,0.0,100.0
25,134.0,0.0,100.0
26,136.0,0.0,100.0
27,134.0,0.0,100.0
28,140.0,0.0,100.0
29,139.0,0.0,100.0
30,142.0,0.0,100.0
31,147.0,0.0,100.0
32,147.0,0.0,100.0
33,156.0,400.0,0.0
34,158.0,400.0,0.0
35,164.0,400.0,0.0
36,160.0,400.0,0.0
37,158.0,400.0,0.0
38,155.0,400.0,0.0
39,152.0,400.0,0.0
40,156.0,400.0,0.0
41,159.0,400.0,0.0
42,158.0,400.0,0.0
43,155.0,400.0,0.0
44,155.0,400.0,0.0
45,149.0,0.0,100.0
46,149.0,0.0,100.0
47,159.0,400.0,0.0
48,147.0,0.0,100.0
