,recup_data_aurel-force,recup_data_aurel-ACd,recup_data_aurel-vitesse moyenne,recup_data_aurel-vitesse moyenne quadratique
0,16.100605822199583,0.5678014037516405,6.9365,6.937131305518153
1,20.853904060358836,0.49364128461324575,8.402315789473683,8.402595513793406
2,21.0856540664932,0.3743748875327136,9.740428571428572,9.740820594649243
3,36.5173689872795,0.49330249730074444,11.211058823529411,11.214507227379238
4,13.179316351698679,0.44991136901085976,7.0845777777777785,7.085657225064666
5,18.08949155672054,0.43143069805502654,8.464628571428573,8.465588505405703
6,27.054424432910462,0.4762201378572098,9.85585294117647,9.856980484139445
7,29.885159892229673,0.42325930407409973,11.027148148148147,11.029933025887127
8,10.152764407284469,0.34670592383951576,7.136222222222223,7.137077931997618
9,19.203820430511247,0.47592102228157185,8.369708333333334,8.371592354006893
10,28.021880537969327,0.5011138964495266,9.441294117647058,9.443696933124542
11,27.92134460403249,0.39594061632055777,10.968772727272729,10.969914354932104
