,recup_data_aurel-force,recup_data_aurel-ACd,recup_data_aurel-vitesse moyenne,recup_data_aurel-vitesse moyenne quadratique,recup_data_aurel-b_few,recup_data_aurel-b_period,recup_data_aurel-val reste,recup_data_aurel-Nb periode
0,16.810742074575746,0.5928938347865218,6.9338823529411755,6.934484653654135,True,True,2.578065085343919,1.1787599999999998
1,23.68648349570415,0.5566675355074189,8.422583333333334,8.422854459742256,True,True,0.12715813635958995,1.01071
2,23.243107881150884,0.41287160969413844,9.829166666666667,9.830453075350427,True,True,1.826197541331073,1.1795
3,37.610982505614444,0.5083385627134073,11.207457142857143,11.210827782613938,True,False,8.23210821366386,3.9226099999999997
4,13.828832189635877,0.47085607977004396,7.085046511627908,7.086159886019547,True,True,0.6572998486822961,3.0465700000000004
5,19.008577271006253,0.45275900126497504,8.464628571428573,8.465588505405703,True,False,11.372265089684134,2.9626200000000003
6,28.278427007887345,0.5014526692260444,9.807916666666666,9.808848764423546,True,False,3.608309613832361,2.3539
7,31.559681403263358,0.44553123541354384,11.029214285714284,11.031904436678193,True,True,0.7995129817562407,3.0881799999999995
8,11.482636813983124,0.39427401553016916,7.220157894736841,7.226699075395058,True,False,5.149887376715773,1.3718299999999999
9,20.015287097177914,0.493952263443789,8.369708333333334,8.371592354006893,True,True,0.10430470994110763,2.00873
10,22.928556461072933,0.43823532592066305,9.612444444444444,9.612749855154755,False,False,9.0,0.86512
11,27.24999038937369,0.3829024548069291,10.88135714285714,10.88185339058957,True,False,4.809969869829786,1.5233899999999998
