,2018-05-18-16-09-15-force,2018-05-18-16-09-15-ACd,2018-05-18-16-09-15-vitesse moyenne,2018-05-18-16-09-15-vitesse moyenne quadratique,2018-05-18-16-09-15-b_few,2018-05-18-16-09-15-b_period,2018-05-18-16-09-15-val reste,2018-05-18-16-09-15-Nb periode
0,10.94981154685492,0.3523660049769626,7.256353658536583,7.2575605666125025,True,False,13.094868920592695,5.950209999999998
1,15.280011910830357,0.34720848561948475,8.659333333333334,8.660016151832512,True,True,0.9035337593348238,2.07824
2,19.86069482101876,0.32602060949849926,10.2485,10.249801011372234,True,True,2.4849490169293063,2.25467
3,26.43997710375806,0.3238401569803607,11.744074074074073,11.74535594591736,True,True,1.4552019931249767,3.1708999999999996
4,11.047052099253795,0.35105804456635453,7.324861111111111,7.325726795570071,True,False,8.695728019112988,2.6369499999999997
5,16.413183045051927,0.3805284608356163,8.70164,8.702156562599871,True,True,2.0158269015955597,2.17541
6,19.334560396208595,0.329136378797132,10.066585365853658,10.06766729345519,True,True,1.2645797494730218,4.1273
7,24.280589902753995,0.3195921731555703,11.534678571428572,11.536867130142888,True,True,1.9914729186211773,3.2297100000000003
8,11.059310336846398,0.3266981978907814,7.831380952380952,7.835810320633876,True,False,8.230859971178226,1.64459
9,16.07418423866581,0.3466189393186608,8.9855,8.986758969605104,True,True,2.612876300706697,3.23478
10,18.53591995187036,0.3224521034959695,10.004483870967746,10.005569292697329,True,True,1.0134455840768304,3.101390000000001
11,25.46234732026487,0.3221753784063732,11.676083333333333,11.677804206413692,True,True,1.741936865244476,4.20339
